district,schoolName,schoolAddress,medianResult,unit,lead,status,city,county,latitude,longitude
845,135,2566,NA,0,0,tested,198,36,34.600268,-117.448553
105,1304,8040,9.860499999999998,1,2,tested,109,0,37.5481948,-121.9808293
106,1305,6854,NA,0,0,tested,109,0,37.5573291,-121.9617297
606,8593,8662,NA,0,0,tested,202,0,37.5395210780721,-122.028520511827
516,9868,6504,6.903,1,2,tested,202,0,37.5449594,-122.029247
516,4501,6478,NA,0,0,tested,202,0,37.5525641,-122.042348129968
516,6369,8975,6.926,1,2,tested,202,0,37.5417841019707,-122.039344613929
516,1094,6505,9.112,1,2,tested,202,0,37.5449594,-122.029247
516,2572,8636,NA,0,0,tested,202,0,37.5422929946954,-122.031741196313
516,3751,9278,NA,0,0,tested,202,0,37.54205605,-122.04920602959
516,5189,6551,NA,0,0,tested,202,0,37.5362983061224,-122.052616979592
516,956,6670,NA,0,0,tested,202,0,37.53516755,-122.02233140513
516,6370,6856,NA,0,0,tested,202,0,37.52062465,-122.002553870503
516,655,6594,NA,0,0,tested,202,0,37.528165,-122.046106
516,4375,6560,NA,0,0,tested,202,0,37.5385757991409,-122.042763618605
516,957,8871,NA,0,0,tested,202,0,37.52948475,-122.016105727101
513,333,5906,NA,0,0,tested,198,0,37.5951713,-122.075430811472
258,9685,6288,NA,0,0,tested,109,0,37.57702845,-122.031975421266
513,6337,3252,NA,0,0,tested,198,0,37.5926016,-122.025843
513,2294,8767,NA,0,0,tested,198,0,37.5995437,-122.01968182526
513,9130,3662,NA,0,0,tested,198,0,37.59842065,-122.050124345667
258,1140,6305,NA,0,0,tested,109,0,37.56815035,-122.015190705448
513,4396,3253,NA,0,0,tested,198,0,37.5926016,-122.025843
513,7144,6147,8.7,1,2,tested,198,0,37.5722566926292,-122.072574629447
258,7012,6496,NA,0,0,tested,109,0,37.5622108584392,-122.030821771787
258,6670,7205,NA,0,0,tested,109,0,37.56011265,-122.016677307163
513,1625,5445,NA,0,0,tested,198,0,37.5908013814989,-122.047206331903
513,4330,5986,NA,0,0,tested,198,0,37.5940148,-122.075862133026
513,2341,6383,NA,0,0,tested,198,0,37.5666583608325,-122.074762424448
258,9086,7445,NA,0,0,tested,109,0,37.5562645,-122.016361387949
258,1249,6590,NA,0,0,tested,109,0,37.5520877,-122.0249502
258,6968,5120,NA,0,0,tested,109,0,37.5610469,-121.9838495
258,9697,6772,NA,0,0,tested,109,0,37.5517175,-121.9935237
258,3552,7717,NA,0,0,tested,109,0,37.545657227359,-122.004857558375
258,9131,6794,NA,0,0,tested,109,0,37.5455376438979,-121.998471329024
258,1794,7777,NA,0,0,tested,109,0,37.5379537078649,-121.992051996441
258,10115,7776,NA,0,0,tested,109,0,37.5379537078649,-121.992051996441
258,3313,7778,NA,0,0,tested,109,0,37.5379537078649,-121.992051996441
471,6018,8101,NA,0,0,tested,109,0,37.5281471544418,-121.983403422142
258,1103,6846,NA,0,0,tested,109,0,37.53972,-121.984794
258,3523,6847,NA,0,0,tested,109,0,37.5396325988888,-121.984859300833
258,4502,6896,NA,0,0,tested,109,0,37.528581,-121.983517
258,3368,6883,6.6,1,2,tested,109,0,37.536994,-121.985187
258,4509,6716,NA,0,0,tested,109,0,37.5384613424551,-122.012529408571
258,6546,7153,NA,0,0,tested,109,0,37.5286329509267,-121.963000411462
258,4532,7151,6.8,1,2,tested,109,0,37.529002439362,-121.963064904923
258,4599,10168,NA,0,0,tested,109,0,37.542204,-121.940116
258,9922,8760,NA,0,0,tested,109,0,37.54633945,-121.941167248094
258,3871,7345,NA,0,0,tested,109,0,37.5193434362124,-121.958535690013
258,2573,7376,NA,0,0,tested,109,0,37.519907673019,-121.951554335332
258,4487,7030,NA,0,0,tested,109,0,37.5278759824823,-121.97766289141
258,4349,7023,NA,0,0,tested,198,27,NA,NA
258,4512,8548,NA,0,0,tested,109,0,37.5499652829224,-121.948201802562
258,8690,8272,NA,0,0,tested,198,27,NA,NA
258,6012,7443,NA,0,0,tested,109,0,37.5293015,-121.9217133
258,6017,7197,NA,0,0,tested,109,0,37.536635,-121.946112065317
258,7713,7541,NA,0,0,tested,109,0,37.5189944310345,-121.964629172414
258,9569,7540,NA,0,0,tested,109,0,37.5189944310345,-121.964629172414
258,6013,7199,NA,0,0,tested,109,0,37.5451551020408,-121.931842734694
606,8734,8357,NA,0,0,tested,109,0,37.5206326182875,-121.981087330021
258,3293,7620,8.3,1,2,tested,109,0,37.506196,-121.926512430028
506,2466,7353,NA,0,0,tested,7,28,38.172532,-122.2633551
506,6278,5715,NA,0,0,tested,7,28,38.184992,-122.257822
506,1387,7827,NA,0,0,tested,7,28,38.1683389387755,-122.244565163265
506,360,5689,NA,0,0,tested,7,28,38.169874,-122.267233
506,359,5732,NA,0,0,tested,7,28,38.173897,-122.2426785
411,2149,11186,NA,0,0,tested,198,27,NA,NA
411,5576,11141,NA,0,0,tested,198,27,NA,NA
411,5701,11140,NA,0,0,tested,198,27,NA,NA
86,1088,6573,NA,0,0,tested,198,27,NA,NA
444,5668,9156,NA,0,0,tested,198,27,NA,NA
102,1543,9155,NA,0,0,tested,198,27,NA,NA
102,1544,8686,NA,0,0,tested,198,27,NA,NA
102,1276,3387,NA,0,0,tested,10,3,38.0490372036635,-120.523288949933
744,10095,6762,NA,0,0,tested,198,36,34.90610755,-116.82494181298
29,484,1035,NA,0,0,tested,198,36,34.4668834017834,-117.190075459773
29,2375,3323,NA,0,0,tested,198,27,NA,NA
29,3656,4516,NA,0,0,tested,198,27,NA,NA
29,7086,3993,NA,0,0,tested,198,36,34.5315967,-117.2152726
29,7436,2107,NA,0,0,tested,198,36,34.5125678445584,-117.179397086756
29,7625,1848,NA,0,0,tested,198,36,34.4986170806792,-117.250650683355
29,8093,4143,NA,0,0,tested,198,36,34.4642276034069,-117.199053347803
29,8414,3625,NA,0,0,tested,198,36,34.4857180620128,-117.240941787771
29,10149,4147,NA,0,0,tested,198,36,34.5003962085039,-117.198588847112
29,4023,1408,NA,0,0,tested,198,36,34.4798916513951,-117.19010269049
662,483,3368,NA,0,0,tested,198,36,34.5439328526926,-117.263761394161
581,500,9539,NA,0,0,tested,198,4,39.0162314236547,-122.060703652614
581,5246,10914,NA,0,0,tested,198,4,39.011793,-122.056001
581,7105,11028,NA,0,0,tested,198,4,39.0120038333333,-122.056014933333
31,8808,2090,NA,0,0,tested,13,11,40.8574316666667,-124.066796833333
31,505,4712,NA,0,0,tested,13,11,40.8823865,-124.0863315
31,1891,3468,NA,0,0,tested,13,11,40.87696624,-124.0986303
31,9295,7775,5.4,1,2,tested,13,11,40.862904104894,-124.076941706909
557,9192,2219,NA,0,0,tested,13,11,40.8901111702905,-124.086857837534
525,506,3057,NA,0,0,tested,13,11,40.875587,-124.089782
525,6831,3058,NA,0,0,tested,13,11,40.875587,-124.089782
321,6493,5499,NA,0,0,tested,13,11,40.8560315269896,-124.071069330447
525,8415,3056,NA,0,0,tested,13,11,40.875587,-124.089782
525,5040,7662,NA,0,0,tested,13,11,40.8987099034491,-124.081544090188
31,3351,3082,NA,0,0,tested,13,11,40.8805074341721,-124.100576169265
557,6846,5736,NA,0,0,tested,13,11,40.89470695,-124.092477612123
606,504,2972,NA,0,0,tested,13,11,40.8740094,-124.0752953
606,8416,1228,5.9,1,2,tested,13,11,40.9007461942767,-124.079820392045
321,6495,2492,NA,0,0,tested,13,11,40.8736820601532,-124.082910176173
321,6494,3162,NA,0,0,tested,13,11,40.8727448163265,-124.096423183673
33,541,2008,7.95,1,2,tested,198,15,36.3125636413319,-119.710416618342
33,6976,694,9.9,1,2,tested,198,15,36.3122859897959,-119.707118
34,545,6581,6.9,1,2,tested,198,26,36.8896740612245,-121.644161081633
430,552,7959,NA,0,0,tested,14,39,35.1145959988087,-120.581171998152
430,3830,10718,9.7,1,2,tested,14,39,35.112625800000004,-120.5924731
430,6628,1155,NA,0,0,tested,14,39,35.12351015,-120.598377720738
430,7025,8759,NA,0,0,tested,14,39,35.1265051,-120.5718258
606,582,11178,NA,0,0,tested,198,55,64.5731537,11.5280364395482
349,582,10704,NA,0,0,tested,198,14,35.2164284545455,-118.834388438017
36,636,5,NA,0,0,tested,16,39,35.4816769,-120.671776600641
36,3137,8889,NA,0,0,tested,16,39,35.4923913,-120.6682082
36,6111,6279,NA,0,0,tested,16,39,35.4996208,-120.692738805249
36,637,9209,NA,0,0,tested,16,39,35.4901829,-120.6665823
36,7949,7369,10,1,2,tested,16,39,35.5150072,-120.6844953
36,7998,10477,NA,0,0,tested,16,39,35.458173,-120.669652205046
36,8150,10541,NA,0,0,tested,16,39,35.46544675,-120.655987757525
36,6908,529,NA,0,0,tested,16,39,35.45803065,-120.638821873319
36,8752,11165,15,1,2,tested,198,27,NA,NA
36,8954,8571,5.6,1,2,tested,16,39,35.4926125,-120.6653253
21,7149,4854,5.9,1,2,tested,198,27,NA,NA
21,4304,7176,NA,0,0,tested,139,1,38.3511596142773,-120.93199775571
21,4305,7576,NA,0,0,tested,198,27,NA,NA
102,6186,4217,NA,0,0,tested,139,1,38.3516125389092,-120.935542811354
21,343,6169,6.9,1,2,tested,316,1,38.3987968151248,-120.809836688249
21,4262,8320,NA,0,0,tested,316,1,38.3771716,-120.8080483
21,8857,6300,6.4,1,2,tested,316,1,38.3988136302495,-120.809929376497
21,8858,609,NA,0,0,tested,316,1,38.394792779661,-120.801527610169
172,3066,9929,5.5,1,2,tested,198,27,NA,NA
172,2200,6443,NA,0,0,tested,198,27,NA,NA
172,6507,265,14,1,2,tested,198,27,NA,NA
172,5003,9121,NA,0,0,tested,73,18,34.0907729636761,-117.916683716282
172,3728,10000,10.05,1,2,tested,198,27,NA,NA
172,5574,7147,NA,0,0,tested,198,18,34.0813562,-117.9385738
172,5885,2746,NA,0,0,tested,73,18,34.0957384,-117.9055833
860,6082,2751,NA,0,0,tested,339,18,34.0816905093213,-117.940189733033
39,9488,9524,NA,0,0,tested,20,18,34.140799,-117.915105
39,5302,4819,NA,0,0,tested,20,18,34.1391198333333,-117.909241916667
39,3956,8007,NA,0,0,tested,20,18,34.138918,-117.90223400000001
39,1679,8493,NA,0,0,tested,20,18,34.1309773333333,-117.900134227273
39,6193,3844,NA,0,0,tested,20,18,34.125835,-117.916213
39,8433,6302,NA,0,0,tested,198,27,NA,NA
39,685,4709,NA,0,0,tested,20,18,34.1242608,-117.89783576576
39,5501,10945,NA,0,0,tested,198,27,NA,NA
39,3521,369,NA,0,0,tested,20,18,34.114302244898,-117.886457081633
39,8349,837,NA,0,0,tested,198,27,NA,NA
39,9621,348,NA,0,0,tested,198,27,NA,NA
39,3190,2387,NA,0,0,tested,20,18,34.123352821032,-117.89334289063
39,1578,8507,NA,0,0,tested,20,18,34.1130026111111,-117.898814666667
39,1857,8138,NA,0,0,tested,20,18,34.1109651434526,-117.902117909
39,6943,7081,NA,0,0,tested,20,18,34.118102,-117.912043
39,9413,9517,7.4,1,2,tested,20,18,34.108393,-117.916439
39,217,8124,NA,0,0,tested,198,27,NA,NA
39,3520,1767,NA,0,0,tested,73,18,34.091794,-117.9144782
349,5157,10833,NA,0,0,tested,21,14,35.363187,-119.12801
349,9607,9614,NA,0,0,tested,21,14,35.3832892090858,-119.081202325613
349,3341,9108,NA,0,0,tested,21,14,35.415579,-119.145483
349,7584,10484,NA,0,0,tested,21,14,35.2754759777778,-119.056767
349,8702,5425,NA,0,0,tested,21,14,35.3294229310345,-119.127844862069
349,4260,10152,NA,0,0,tested,21,14,35.2826272487562,-119.10993997512401
349,1570,10526,NA,0,0,tested,21,14,35.39823,-119.102332
521,9908,10523,NA,0,0,tested,21,14,35.410197,-119.098159
378,2460,9744,NA,0,0,tested,21,14,35.3049078493795,-119.082295504023
567,6545,4731,NA,0,0,tested,21,14,35.3334942276447,-119.06488168933
567,1177,9246,NA,0,0,tested,21,14,35.2598737,-119.1282543
567,1677,8789,NA,0,0,tested,21,14,35.329539,-119.068019
567,5116,10982,NA,0,0,tested,21,14,35.32952,-119.111285
567,5042,5116,NA,0,0,tested,21,14,35.3306380334347,-119.08832643617
567,8408,7691,5.4,1,2,tested,21,14,35.3132642424242,-119.103742060606
567,1767,10641,NA,0,0,tested,21,14,35.330216,-119.099544
567,2491,9763,NA,0,0,tested,21,14,35.2776994,-119.0655005
567,6652,11103,NA,0,0,tested,21,14,35.3177764,-119.1301655
566,6715,8711,NA,0,0,tested,21,14,35.31651,-119.074292
567,7770,528,NA,0,0,tested,21,14,35.345732,-119.12372
567,8701,10030,NA,0,0,tested,21,14,35.3499853463799,-119.089604516632
567,9012,6825,NA,0,0,tested,21,14,35.326044,-119.102331
567,9720,8510,NA,0,0,tested,21,14,35.357516,-119.06492
567,2596,7712,NA,0,0,tested,21,14,35.3187025715489,-119.118818731455
567,951,8570,NA,0,0,tested,21,14,35.3031791480064,-119.063113808117
264,1945,9564,NA,0,0,tested,21,14,35.36687834,-119.103977006667
264,2903,10868,NA,0,0,tested,21,14,35.390812,-119.108182
264,7329,9739,NA,0,0,tested,21,14,35.358427,-119.084069
640,2332,8769,NA,0,0,tested,21,14,35.3497002321018,-119.162418138776
640,361,10138,NA,0,0,tested,21,14,35.396917,-119.118907
263,2643,8286,NA,0,0,tested,108,9,36.6264556,-119.6745489
263,6040,8693,NA,0,0,tested,60,9,36.83355715625,-119.7239031875
263,9238,8293,NA,0,0,tested,110,9,36.7557705079761,-119.717307333235
606,10119,7022,NA,0,0,tested,23,33,33.9305585714286,-116.921030142857
47,731,9358,NA,0,0,tested,23,33,33.9314729190434,-116.870251158474
47,5968,9357,NA,0,0,tested,23,33,33.9314729190434,-116.870251158474
47,730,930,NA,0,0,tested,198,27,NA,NA
47,732,81,NA,0,0,tested,23,33,33.917996,-116.882912
47,733,928,NA,0,0,tested,198,27,NA,NA
47,1587,5630,8.3,1,2,tested,23,33,33.9452437,-116.876906
47,3166,9359,NA,0,0,tested,23,33,33.9314729190434,-116.870251158474
47,3951,3587,NA,0,0,tested,23,33,33.9288128005828,-116.897940719835
47,4093,745,NA,0,0,tested,23,33,33.9345168027913,-116.863363952972
47,6342,929,NA,0,0,tested,198,27,NA,NA
47,6395,194,NA,0,0,tested,23,33,33.92899,-116.875522
47,8847,925,NA,0,0,tested,198,27,NA,NA
47,7515,9988,NA,0,0,tested,198,27,NA,NA
634,7667,1058,28,1,2,tested,198,27,NA,NA
225,1040,8146,7.01,1,2,tested,243,46,40.5994144757057,-122.343140717477
56,838,4482,NA,0,0,tested,198,27,NA,NA
523,6454,482,NA,0,0,tested,198,46,40.5928576530612,-122.231770244898
737,1777,4251,NA,0,0,tested,198,27,NA,NA
606,7472,4250,5.29,1,2,tested,198,46,40.5636822653061,-122.240202265306
158,1945,252,NA,0,0,tested,243,46,40.5240506,-122.2907727
158,6197,9379,NA,0,0,tested,243,46,40.59577985,-122.324990729285
739,3187,11062,NA,0,0,tested,198,46,40.573534,-122.238647
606,2088,10570,NA,0,0,tested,243,46,40.594023,-122.353392
158,5798,10999,NA,0,0,tested,198,27,NA,NA
59,2942,2173,15,1,2,tested,198,27,NA,NA
59,3264,2482,13,1,2,tested,198,27,NA,NA
59,9695,11060,NA,0,0,tested,198,27,NA,NA
59,8472,10831,NA,0,0,tested,198,27,NA,NA
59,7388,10899,NA,0,0,tested,198,27,NA,NA
59,4995,174,8.4,1,2,tested,198,27,NA,NA
59,9065,169,NA,0,0,tested,198,27,NA,NA
59,852,2472,8.9,1,2,tested,198,27,NA,NA
53,934,6439,NA,0,0,tested,198,27,NA,NA
53,1713,8321,NA,0,0,tested,198,27,NA,NA
68,937,5245,8.9,1,2,tested,198,27,NA,NA
491,4974,8591,NA,0,0,tested,198,36,34.2667814,-116.4319564
74,970,10143,11,1,2,tested,30,13,37.36536,-118.404811
74,971,5754,7.5,1,2,tested,30,13,37.3635163979592,-118.39806905102
74,4138,3839,6.6,1,2,tested,30,13,37.3622629260239,-118.40244618405
77,999,9052,NA,0,0,tested,198,27,NA,NA
78,1013,1354,8.6,1,2,tested,0,20,37.919155490163,-122.69318922379
503,1033,5242,5.2,1,2,tested,0,14,35.004091959596,-117.653858909091
85,122,6980,NA,0,0,tested,33,5,37.9180043,-121.75887350000001
85,1082,3761,NA,0,0,tested,33,5,37.9277681,-121.7064318
85,2689,1931,NA,0,0,tested,33,5,37.9315570377358,-121.690817
85,3411,4907,13,1,2,tested,198,27,NA,NA
85,5281,4090,NA,0,0,tested,33,5,37.9399329269566,-121.73772071101
85,5683,8801,NA,0,0,tested,33,5,37.9527556,-121.707289183952
85,5728,7853,NA,0,0,tested,33,5,37.9491404897959,-121.687629142857
85,7144,3851,NA,0,0,tested,33,5,37.9545125699813,-121.736855964
85,7350,3470,NA,0,0,tested,33,5,37.918370352778,-121.738353186855
85,7767,3144,NA,0,0,tested,33,5,37.9302871120152,-121.728606119667
85,9909,10503,NA,0,0,tested,33,5,37.9374816114342,-121.714649242929
399,5157,10470,5.5,1,2,tested,33,5,37.9385882,-121.6996169
399,4877,6925,NA,0,0,tested,198,27,NA,NA
399,4260,10849,7.7,1,2,tested,33,5,37.9385882,-121.6996169
399,3985,191,NA,0,0,tested,33,5,37.9180043,-121.75887350000001
164,4354,1082,NA,0,0,tested,33,5,37.9239022959383,-121.685780625557
165,5162,10469,NA,0,0,tested,33,5,37.9385882,-121.6996169
93,9932,6381,NA,0,0,tested,36,18,34.1664896957695,-118.31008694302
93,7347,6249,NA,0,0,tested,198,27,NA,NA
93,9062,4091,NA,0,0,tested,36,18,34.1786382857143,-118.333424734694
93,7373,9657,NA,0,0,tested,36,18,34.1902941706132,-118.307299683179
93,9065,3484,NA,0,0,tested,198,27,NA,NA
93,7296,3554,NA,0,0,tested,36,18,34.1887522296085,-118.344719872588
93,2260,7229,NA,0,0,tested,198,27,NA,NA
93,9049,10463,NA,0,0,tested,36,18,34.1656685116279,-118.344635604651
93,9659,1213,NA,0,0,tested,36,18,34.1737069659436,-118.320348182948
93,4166,6317,NA,0,0,tested,36,18,34.209936,-118.333518
93,1200,4389,NA,0,0,tested,36,18,34.1782772941176,-118.304573235294
93,1199,6629,NA,0,0,tested,198,27,NA,NA
93,1085,6047,NA,0,0,tested,198,27,NA,NA
93,5447,6610,NA,0,0,tested,198,27,NA,NA
93,4543,728,NA,0,0,tested,36,18,34.196085,-118.312813
93,4461,9658,NA,0,0,tested,36,18,34.1832945185185,-118.297360222222
93,3485,4593,NA,0,0,tested,36,18,34.1981746938775,-118.335573938776
93,6106,3542,NA,0,0,tested,36,18,34.1863148,-118.3315375
93,5506,10329,NA,0,0,tested,198,27,NA,NA
93,1191,6746,6.4,1,2,tested,198,27,NA,NA
93,1195,10735,NA,0,0,tested,198,27,NA,NA
93,1214,3560,NA,0,0,tested,198,27,NA,NA
237,1207,3916,NA,0,0,tested,198,46,40.8787465380667,-121.672734811471
237,6195,3918,NA,0,0,tested,198,46,40.8787465380667,-121.672734811471
237,1208,6660,5.3,1,2,tested,198,27,NA,NA
237,1210,6691,NA,0,0,tested,198,46,40.8848454285714,-121.64847
237,6206,6692,NA,0,0,tested,198,46,40.8848275510204,-121.648369285714
483,571,7766,10.05,1,2,tested,198,27,NA,NA
854,7946,7348,NA,0,0,tested,198,27,NA,NA
143,1778,4789,NA,0,0,tested,198,26,36.5713418958333,-121.516264340278
484,2331,1487,12,1,2,tested,79,26,36.5982711,-121.839561836951
484,6105,198,6,1,2,tested,190,26,36.5951152,-121.90018196619
484,9660,77,6,1,2,tested,190,26,36.591627,-121.91333
484,6079,4960,NA,0,0,tested,190,26,36.5890326919612,-121.907810185843
484,6752,3146,NA,0,0,tested,294,26,36.6167132857143,-121.82642477551
484,3186,2973,NA,0,0,tested,190,26,36.5777267920494,-121.855128013238
484,4871,7,NA,0,0,tested,190,26,36.58165,-121.879046
483,781,4352,8,1,2,tested,198,27,NA,NA
606,9195,8797,NA,0,0,tested,190,26,36.599119,-121.888798
118,1436,10425,NA,0,0,tested,198,26,36.535958,-121.858099
118,1443,11175,9,1,2,tested,46,26,36.5603497234043,-121.924329329787
118,1441,6524,NA,0,0,tested,46,26,36.5551375,-121.9201483
118,1442,7458,NA,0,0,tested,265,37,32.9337398,-117.2387092
118,1444,5345,NA,0,0,tested,198,26,36.528085,-121.830604
118,1437,10440,NA,0,0,tested,198,26,36.535958,-121.858099
118,9215,6386,NA,0,0,tested,198,26,36.4836182962244,-121.730149716219
606,1250,1535,NA,0,0,tested,198,27,NA,NA
484,8225,2157,NA,0,0,tested,294,26,36.6073732222222,-121.834915277778
484,4293,8414,NA,0,0,tested,198,27,NA,NA
71,942,1800,NA,0,0,tested,190,26,36.5961498888889,-121.894299888889
556,3210,492,NA,0,0,tested,216,26,36.6094067711219,-121.930126851738
556,7687,7898,NA,0,0,tested,216,26,36.6181891153846,-121.91622
556,6838,10375,NA,0,0,tested,216,26,36.6144822075928,-121.920555619008
556,6836,313,NA,0,0,tested,216,26,36.6206278,-121.9166554
483,6098,175,NA,0,0,tested,216,26,36.6140036938775,-121.910686632653
556,1972,176,NA,0,0,tested,216,26,36.6140036938775,-121.910686632653
163,81,8482,NA,0,0,tested,320,58,34.1967854,-118.8714384
163,590,3426,NA,0,0,tested,320,58,34.202975,-118.883564
163,737,766,NA,0,0,tested,198,27,NA,NA
163,2200,7234,NA,0,0,tested,198,27,NA,NA
163,2916,5161,NA,0,0,tested,320,58,34.1830724736842,-118.931955042105
163,5494,8901,NA,0,0,tested,320,58,34.1988326038173,-118.892335796809
163,6371,7664,NA,0,0,tested,198,27,NA,NA
163,5579,6423,NA,0,0,tested,198,27,NA,NA
163,7491,4611,NA,0,0,tested,320,58,34.196822,-118.882641
163,8253,5517,NA,0,0,tested,320,58,34.1791721,-118.936209
163,8874,7700,NA,0,0,tested,198,27,NA,NA
163,9088,4596,NA,0,0,tested,320,58,34.2111341,-118.870509164903
163,9648,8675,NA,0,0,tested,320,58,34.1859638347701,-118.945519788749
