city	schoolName
0	224,317,342,344,345,1013,1033,1102,1106,1136,1290,1359,1414,1619,1659,1825,2363,2364,2365,2366,2467,2516,2581,2582,2656,2663,2694,2750,2803,2967,3042,3058,3187,3284,3408,3617,3694,3717,3806,3868,4136,4201,4256,4680,4681,4911,4912,5000,5038,5178,5376,5432,5451,5811,5931,6203,6781,7085,7195,7529,7646,7770,8126,8234,8540,8719,8879,8933,8986,9010,9079,9188,9206,9294,9406,9543,9628,9650,9706,9755,9832,9991,10007,10008,10011
1	1999,6614,6889,9260,9261
2	1232,5215,5659,8764,10093
3	163,168,169,778,2459,2680,2894,3272,3284,3963,4328,5194,6304,7635,7636,7861,8609,8610,8625,9015,9016,9026,9918
4	949,1606,2870,3408,3638,5614,5667,5698,6951,9936
5	227,228,1395,2451,2452,4605,6558,10038
6	332,6030,6031
7	359,360,1387,2466,6278
8	378,716,765,1382,1391,1600,1612,2135,2515,2532,2676,2772,3278,3437,3510,3571,3740,3955,4251,4426,4614,4633,4658,4721,5183,5248,5249,5314,5484,5503,5554,5685,5760,6421,6470,6665,6727,6732,6736,6740,6883,7162,7273,7525,7621,7775,7832,8185,8505,8802,8878,9658,9814,9829,10074
9	392,393,395,5833,6484
10	1276
11	468,470,471,861,930,977,1096,1448,2223,2299,2397,2617,3316,3661,4360,4730,5239,5298,5684,6001,6230,6953,8859,9238
12	503,712,3145,3202,4106,4202,5901,5902,6793
13	504,505,506,1891,3351,4369,5040,6493,6494,6495,6831,6846,8415,8416,8808,9192,9295
14	552,3830,6628,7025
15	1190,4614,4689,6397,6788,7833
16	636,637,3137,6111,6908,7949,7998,8150,8954
17	642,643,849,850,6026,7040,8280,9072
18	316,3007,7164,7166,8430
19	7499,7501,8827
20	685,1578,1679,1857,3190,3521,3956,5302,6193,6943,9413,9488
21	287,361,376,644,660,700,894,914,915,951,1177,1456,1497,1570,1627,1677,1761,1767,1921,1933,1945,1973,1994,2190,2332,2424,2460,2491,2509,2519,2525,2596,2612,2903,3067,3276,3284,3296,3309,3316,3341,3348,3596,3658,3700,3702,3823,3958,4046,4172,4175,4258,4260,4433,4714,4716,5042,5116,5118,5121,5157,5305,5408,5807,5983,6266,6446,6447,6545,6652,6715,6919,7010,7021,7170,7171,7329,7356,7358,7584,7718,7770,7779,7810,7852,8028,8385,8408,8502,8674,8698,8701,8702,8718,9012,9101,9354,9393,9394,9482,9551,9572,9607,9615,9665,9701,9720,9721,9767,9908,9937,9948,10163
22	711,1587,2938,4445,4688,5606,6472,6662,8127,9169,9535
23	731,732,1587,3166,3951,4093,5968,6395,10119
24	17,438,812,815,3543,4041,6882,8002
25	1427,1587,3247,6320,7377
26	889,890,891,1743,2043,2112,2660,2866,3289,4163,4433,4540,4739,5078,5304,5539,5709,6807,7459,7460,7792,8203,9013,9019,9020,9030,9087,9145,9298,9904
27	928,929,3883,6143
28	933,6477
29	945,947
30	970,971,4138
31	747,1071,2384,4352,5935,6268,7076
32	546,1072,1073,1074,1075,1764,3924,5034,6117,6657,8581,9914
33	122,1082,2689,3985,4260,4354,5153,5157,5162,5281,5683,5728,7144,7350,7767,9909
34	4573,6579
35	575,1172,1173,1174,1675,3539,3619,4096,4157,5469,7452,7835,8047
36	14,701,1200,3485,4098,4099,4166,4374,4461,4543,6106,7296,7373,9049,9062,9659,9932
37	1205,1206,2390,3284,4153,5811,6844,6866,7779,9521,9695
38	216,574,779,1270,3614,5008,5443
39	662,986,1288,1289,1619,2469,2910,4692,7741,9934
40	814,1138,5896,9153
41	950,1308,3318
42	1309,1310,6875
43	139,509,1321,1322,2479,3341,3427,4866,4992,5390,6085,7192,7260,7406,7430,8151,9103,9465
44	6333,6704
45	677,1177,1275,1430,1469,2719,4159,4433,4679,4841,4842,5501,6003,6672,7204,8618,9387
46	1441,1443
47	226,1362,1463,1464,1465,7595
48	18,90,94,351,352,400,444,1021,1023,1116,1117,1452,1454,1455,1473,1475,1477,1478,1479,1538,1539,2193,2303,2304,2438,2439,2443,2591,3337,3338,3555,5067,5068,5510,5511,8681,9157,9158,9275,9861
49	521,984,1472,1532,1599,1610,1623,2454,3795,4890,5429,7007,7930,9234
50	69,1063,1449,2427,3378,3611,3872,5066,6412,6534,8730,9167,9872,10030
51	91,932,1000,1228,1575,1665,1737,1738,1739,1801,3044,4144,4292,5232,5278,5632,5682,5821,6305,6518,6585,7190,7809,8294,8325,8371
52	220,437,1176,1266,1758,2410,2447,2571,2710,4179,5452,5505,6381,7393,9645
53	1055,1235,1383,1659,1759,1760,2093,2580,3495,3551,4019,5913,6575,7708,7761
54	1763,5880,7770,8685,9994
55	235,314,564,783,1024,1025,1320,1502,1514,1515,1516,1779,1780,1846,2021,2266,2412,2421,2620,2645,2646,2647,3099,3765,3818,3984,4077,4079,4080,4182,4676,5028,5127,5155,5277,5468,5686,5822,6229,6678,6683,6723,6783,6784,6911,6912,6975,7416,7752,7756,7807,7921,8683,9108,9353,9482,9601,10031
56	532,1327,1468,2782,3645,4771,5163,5655,5893,8026,8426,8829,8891,10077
57	1659,1827,1828,1966,1998,2234,2776,6606,7943,8788,9580
58	1211,1847,7219
59	1868,4433,9690
60	313,536,1161,1167,1555,1574,1605,1871,1872,1873,1875,1876,1878,1879,1907,2105,2543,2912,3306,3408,3431,3500,4433,5578,5991,6040,7458,7462,7527,8375,8935,9744,10073
61	1328,1887
62	1913,1914
63	73,214,1942,3491,7023,8083,9285,9697,9917,9932
64	1954,1955,1956,3477,4397
65	8602
66	1216,1569,1989,1990,2268,2409,2781,2866,2915,4578,4579,4679,5039,5781,5811,6404,6690,7370,7779,7785,7808,9095,9695,9974
67	682,1326,1842,1996,2395,2751,2759,3172,4054,4095,5279,5832,6075,6193,6209,6679,7336,7897,8247,8276,8398,8776,8790,8824,9853,10075,10084,10098,10099
68	1567,1944,2049,5785,6666,9794,10078
69	646,879,1569,1615,1807,2056,2060,2061,2068,2563,2742,3186,3413,4433,4477,4554,5086,5187,6729,6733,6969,7254,7289,8848,9485,9932,10069
70	2063,2065,2066,2602,6876,8393
71	689,1922,2076,2970,3015,3839,3927,4728,5207,5762,7024,7223,8480,9493,9635,9877,9991,10055
72	9074
73	36,753,869,1553,1701,2098,3130,3520,3540,4989,5003,5885,8380,8482,8715
74	912,1517,2136,2322,2820,4466,9287
75	73,1239,2187,2188,2208,3386,4139,4504,6061,6250,7925,8691,9680,9795,9915,9940
76	60,1826,2201,2335,3275,4632,5150,5609,6806
77	785,2242,3116,3283,3412,3446,3485,4065,4434,4501,4639,5610,5662,6791,6792,6922,8427,8784,8848,9062,9076,9820,9831,10069
78	6874,7553,7554
79	2331
80	838,2702,6862,9274
81	542,2399,2402,5313,5581,6925
82	389,1238,2435,2436,3715,5528,9186
83	1500
84	1950,2499,2500,3381,3438,3723,3903,6652,7616,8665,8852,9310,9673,9681,9948
85	399,808,2545,5770,6218,7855
86	2085,2546,2547,2802,3303,3838,4350,4380,4513,6253,8627,9382,9747
87	2555,2556,2557
88	603,604,1081,2077,2079,2634,2654,5392,5823,7443,7769,9042
89	4645,9209,9418
90	475,1264,1662,1704,2273,2301,2413,2618,2714,2715,2716,2717,3156,3174,3197,3199,3200,3656,3702,4132,4291,5149,5228,5229,5230,5486,5501,5903,6127,6167,6284,6789,7046,7905,8274,9616
91	719,1598,2281,3271,3923,4137,4241,5607,5704,8543,9993
92	697,1685,1724,2761,2762,3115,4446,4885,5091,5769,5991,6194,6348,9081,9265
93	3461,3490,5629,6998,7909,9554
94	517,1579,2779,2780,7576
95	174,526,572,1471,2080,2687,2698,2812,2816,2823,2824,2831,2840,3164,3239,3287,3840,3930,4376,4450,4499,4590,4595,4662,4919,5654,6112,7184,7447,7848,8713,9115,10161
96	117,1405,1407,1412,1413,2414,3157,6554,6555,6622,6623,6950,7019,7020,7976,7977,8832,8833
97	807,899,1587,1835,1836,1838,2019,2309,2310,2311,2949,2952,2953,3094,3104,3542,3987,3988,4021,4638,4829,5189,5958,6394,6451,6561,6731,7144,7330,7506,7596,7721,8062,8063,8064
98	2995,2996,2997
99	214,1536,2197,3006,3661,9695,10165
100	410,440,537,686,1572,1851,2032,2496,2578,2671,3052,3053,3054,3587,3603,3652,3697,3755,4131,4650,5031,5726,5757,6313,6584,6815,7300,7759,8243,8947,9123,9178,9181,9438,9741
101	2295,3467,4343
102	3120,3121
103	197,282,284,819,1378,1548,1659,1802,2200,2254,2263,2442,2472,2619,3182,3183,3184,3185,3853,3950,3965,3986,4638,4642,4646,4665,5237,5549,5912,6274,6482,6570,6655,6896,6967,7230,7442,7487,7879,8253,8277,8352,8530,8541,8775,8877,8957,9118,9719,9766,9787
104	2229,3219,6527,7487,9090
105	3222,8218
106	648,1043,1089,3236,8054
107	2102,2984,3240,3517,3811,4401,5336,5748,7175,8929,9605
108	2643,3245,3246,4556,4756,5689,7781
109	362,512,684,1103,1140,1249,1304,1305,1580,1794,2573,3213,3293,3313,3368,3523,3552,3871,4316,4394,4487,4502,4509,4512,4532,4587,4599,5096,6012,6013,6017,6018,6401,6546,6670,6968,7012,7713,8734,9086,9131,9362,9569,9674,9685,9697,9922,10115
110	127,157,432,591,681,683,696,916,938,966,1186,1213,1319,1416,1481,1482,1568,1590,1877,1945,2026,2028,2257,2313,2389,2658,2679,2681,2685,2735,2930,2933,3024,3035,3084,3133,3159,3218,3224,3226,3329,3330,3505,3518,3659,3776,3794,3864,3975,3999,4097,4319,4345,4364,4392,4407,4433,4552,4555,4657,4703,4704,4742,4802,4822,4977,5045,5189,5414,5541,5548,5653,5778,5793,5811,5819,5935,6160,6193,6231,6290,6318,6358,6437,6448,6533,6724,6999,7000,7080,7090,7253,7378,7677,7716,7749,7751,7880,8204,8251,8253,8345,8431,8534,8660,8818,8830,8951,8976,8989,9113,9238,9440,9511,9541,9547,9556,9718,9728,9779,9780,9942,9991,10027,10034
111	81,820,1960,2209,3113,3355,3356,3995,4895,4906,4926,5579,6392,6834,7450,7570,7686,7796,8809,9140,9210,9343,10045
112	2981,3065,3382,4932,5161,5604,7650,7703,9395,9479,9817
113	62,142,390,391,1015,1131,1149,1240,1862,2465,2563,2595,2906,2988,3027,3098,3389,3390,3449,3509,4087,4340,4544,4580,4941,4968,5136,5222,5420,5630,5672,5842,5843,5884,6155,6637,6850,6975,7016,7403,7660,8168,9075,9631,10043
114	8,9,10,137,372,373,374,1665,1666,2367,2368,2512,2919,3395,3396,3397,3398,3399,3466,4641,6045,6046,6688,6689,6693,7036,7321,8585,10125
115	474,1142,1143,1776,2809,3434,3511,4991,5438,6217,7743,8469,8532
116	73,396,879,1612,1925,1951,2142,2220,2554,2801,3546,3556,3975,4167,4492,4534,4540,5666,6822,7342,9050,9062,9065,9406,9472,10071
117	1100,2178,3547,3572,4767,4768,4853,8092,8236,8655,8853,9859,9947
118	3612,4854,8471
119	3646,9007
120	1619,3701,5729,6549,9604
121	3729
122	4711,5727
123	337,3766,5569,7107
124	2160,2593,3787,3788,3789,3791,3793,4342,4429,4503,4592,4758,4759,5189,5704,6051,7150,7779,10070
125	1166,1787,1789,2212,2213,2214,2215,2231,3028,3885,3887,4425,4609,4803,4820,6156,7068,7256,7384,7512,9690,10083,10162
126	165,230,466,1048,1080,1086,1194,1204,1936,2042,2610,2613,2666,2667,2800,3071,3524,3822,3894,3895,3941,4040,4081,4245,4814,5064,5308,5323,5712,6210,6890,6951,7856,7881,8034,8190,8390,8538,8717,8751,9185,9279,10024
127	3151,3908,3909,5593
128	83,200,602,775,1541,2405,3948,3949,4368,7388,7438,9796,9812,9877
129	3997
130	562,811,1907,2114,2200,4045,4048,6645,9081
131	4125,4126
132	115,151,1107,1411,1795,1888,1926,2681,2985,3600,3625,3819,3940,4162,4209,4220,4320,4515,4547,4594,4948,5131,5643,5651,5896,6581,6629,6647,7372,8206,8568,8797,8922,9522
133	1732,4223
134	868,3070,4246,4252,8905
135	787,1587,3336,4247,4248,4249,5589,9548
136	4501,9004,9066
137	210,2453,3504
138	276,417,553,882,926,1603,1607,1608,1742,1813,1883,2171,2440,2920,3261,3623,4043,4194,4229,4279,4280,4682,6050,6577,9682,9886,9887,10096,10097
139	4304,6186
140	198,544,799,1019,1156,1394,1922,2124,2183,2203,2300,2604,2652,2732,3706,4016,4313,4314,4439,4958,5834,6508,6509,6552,6747,7073,7181,7241,7245,7432,8169,8380,8506,8570,8712,8719,8934,9241,9302,9303,9454,9602,9836,9853,10042,10043
141	519,4364,4366
142	1352,3535,4270,4643,4944,5980,5996,6529,7011,7037,7048,9788
143	2914,3604,4708
144	1652,2329,4740,4741,7087,7131,7246,8130
145	0,2,3,4,5,6,11,15,16,19,20,21,22,25,27,28,30,34,35,38,39,40,41,44,45,46,49,50,51,52,53,54,55,56,57,77,78,79,85,86,89,92,93,95,102,126,148,149,156,162,183,184,191,194,195,203,205,206,207,209,242,243,244,246,247,249,251,252,256,257,258,260,261,263,264,267,270,271,272,301,302,304,305,349,350,353,354,380,385,386,397,398,405,406,408,409,414,416,418,419,420,424,426,427,428,430,431,433,446,447,478,479,480,481,492,493,495,496,497,510,527,528,538,539,540,559,587,588,611,612,613,614,627,628,629,640,641,650,651,656,657,658,661,667,669,702,703,708,709,723,725,726,729,734,738,739,755,758,767,768,772,796,797,821,822,823,853,854,855,857,858,859,874,878,881,884,885,886,905,906,908,909,923,925,962,964,990,1003,1004,1051,1052,1057,1060,1065,1077,1083,1084,1087,1091,1092,1101,1105,1108,1114,1115,1118,1119,1120,1124,1125,1157,1160,1162,1168,1169,1170,1189,1192,1193,1196,1219,1221,1224,1225,1246,1248,1257,1258,1267,1268,1271,1272,1273,1274,1331,1333,1341,1342,1343,1344,1345,1346,1347,1348,1349,1363,1364,1366,1367,1368,1369,1370,1371,1372,1374,1396,1399,1428,1429,1431,1460,1462,1476,1480,1483,1484,1507,1508,1509,1512,1513,1557,1558,1560,1561,1562,1563,1564,1565,1566,1573,1582,1583,1588,1591,1595,1620,1653,1654,1655,1676,1678,1682,1686,1690,1691,1696,1697,1698,1705,1706,1707,1709,1710,1711,1712,1717,1718,1719,1734,1773,1785,1786,1796,1797,1798,1799,1800,1816,1843,1852,1855,1856,1858,1860,1865,1866,1900,1904,1905,1911,1912,1918,1931,1948,1949,1952,1959,1961,1970,1974,1975,1980,1988,1991,1992,2014,2015,2087,2100,2101,2130,2131,2132,2133,2139,2168,2169,2216,2217,2218,2232,2245,2246,2247,2249,2250,2261,2274,2276,2277,2290,2291,2330,2344,2345,2391,2407,2423,2432,2433,2440,2441,2474,2475,2476,2477,2503,2504,2511,2521,2522,2523,2524,2529,2531,2535,2538,2539,2565,2566,2574,2586,2587,2588,2589,2606,2625,2626,2627,2629,2630,2631,2637,2638,2648,2664,2665,2704,2705,2709,2727,2728,2729,2730,2746,2747,2764,2765,2783,2784,2785,2786,2787,2788,2804,2856,2857,2859,2860,2863,2865,2868,2888,2889,2897,2898,2901,2902,2917,2925,2926,2927,2928,2935,2937,2943,2944,2964,2965,2979,2980,3000,3002,3009,3014,3018,3019,3020,3021,3034,3036,3037,3039,3040,3041,3046,3047,3050,3051,3088,3089,3105,3108,3111,3129,3132,3134,3135,3153,3154,3162,3163,3165,3170,3223,3231,3233,3234,3253,3256,3258,3263,3269,3279,3281,3282,3285,3290,3292,3314,3315,3319,3333,3334,3345,3350,3353,3354,3374,3375,3387,3388,3403,3404,3414,3415,3417,3419,3420,3421,3422,3423,3424,3441,3457,3458,3460,3463,3475,3482,3486,3493,3498,3499,3508,3515,3516,3526,3527,3528,3529,3530,3531,3533,3534,3549,3560,3561,3563,3564,3565,3569,3574,3575,3609,3636,3637,3640,3641,3643,3660,3662,3665,3667,3668,3674,3675,3676,3720,3721,3730,3741,3742,3759,3760,3761,3764,3780,3781,3782,3784,3785,3809,3812,3813,3814,3816,3824,3826,3832,3833,3834,3837,3849,3855,3856,3858,3861,3862,3863,3873,3874,3878,3879,3880,3891,3892,3900,3901,3928,3929,3967,3982,4003,4004,4005,4006,4034,4049,4050,4052,4056,4061,4063,4066,4067,4073,4074,4090,4091,4092,4111,4113,4114,4116,4117,4118,4119,4120,4121,4123,4124,4145,4146,4147,4148,4149,4152,4156,4158,4169,4189,4190,4191,4204,4226,4231,4232,4233,4277,4315,4331,4332,4334,4335,4336,4337,4359,4389,4390,4391,4399,4402,4404,4414,4427,4430,4431,4457,4460,4476,4479,4482,4489,4491,4493,4502,4516,4518,4519,4524,4535,4546,4549,4559,4560,4566,4581,4582,4583,4591,4593,4628,4629,4647,4648,4694,4697,4698,4699,4700,4701,4718,4719,4743,4746,4780,4781,4785,4788,4790,4799,4805,4806,4811,4812,4813,4830,4891,4892,4907,4915,4945,4946,4969,4970,4980,4981,4984,4985,4986,4988,5009,5013,5014,5016,5025,5026,5044,5052,5058,5063,5082,5083,5094,5097,5099,5102,5112,5119,5128,5152,5170,5171,5181,5182,5245,5251,5252,5253,5255,5256,5257,5259,5266,5271,5272,5294,5315,5316,5318,5320,5321,5337,5338,5341,5342,5343,5344,5345,5346,5347,5349,5350,5352,5353,5355,5356,5357,5359,5373,5374,5397,5398,5399,5411,5418,5419,5441,5477,5491,5500,5502,5508,5509,5514,5515,5516,5517,5525,5526,5534,5546,5547,5551,5552,5562,5563,5564,5565,5587,5588,5617,5640,5641,5642,5649,5650,5660,5661,5670,5671,5676,5677,5678,5679,5680,5696,5704,5720,5737,5751,5763,5766,5768,5775,5776,5777,5787,5788,5791,5810,5851,5853,5868,5869,5878,5905,5906,5916,5917,5919,5920,5921,5938,5959,5960,5962,5989,5990,5991,6047,6048,6057,6058,6062,6063,6080,6081,6087,6173,6174,6177,6192,6199,6213,6216,6226,6233,6240,6241,6242,6245,6246,6247,6248,6270,6272,6276,6279,6285,6300,6301,6302,6321,6322,6323,6326,6329,6331,6332,6335,6336,6338,6344,6349,6350,6352,6359,6360,6365,6368,6373,6374,6380,6396,6399,6403,6405,6406,6407,6408,6413,6414,6415,6417,6423,6424,6440,6441,6442,6443,6459,6460,6461,6462,6463,6464,6500,6501,6503,6504,6505,6514,6515,6517,6537,6620,6624,6667,6668,6674,6681,6686,6691,6692,6694,6708,6709,6712,6717,6719,6771,6772,6774,6776,6778,6779,6780,6786,6787,6798,6799,6801,6804,6805,6811,6812,6841,6842,6853,6854,6855,6856,6857,6858,6859,6860,6871,6872,6899,6900,6901,6902,6920,6921,6923,6924,6929,6947,6959,6960,6961,6962,6971,6983,6984,6987,6988,6993,7004,7009,7015,7083,7124,7125,7127,7129,7168,7169,7172,7179,7199,7200,7212,7215,7216,7232,7235,7264,7265,7266,7278,7279,7299,7301,7302,7303,7306,7309,7310,7312,7313,7314,7315,7334,7335,7339,7340,7380,7381,7387,7392,7395,7396,7401,7402,7446,7449,7495,7509,7510,7518,7519,7520,7521,7522,7523,7524,7532,7533,7534,7536,7541,7546,7547,7561,7562,7565,7568,7590,7591,7592,7622,7633,7670,7671,7684,7690,7693,7694,7695,7712,7722,7723,7745,7753,7778,7786,7793,7794,7797,7798,7799,7800,7821,7822,7850,7851,7920,7923,7927,8017,8021,8060,8061,8065,8066,8067,8069,8070,8071,8072,8073,8074,8075,8095,8137,8172,8178,8179,8180,8181,8198,8205,8231,8237,8238,8242,8249,8259,8260,8272,8273,8289,8290,8304,8311,8313,8316,8317,8319,8321,8328,8329,8360,8361,8362,8420,8421,8422,8461,8462,8466,8483,8486,8509,8510,8516,8517,8519,8520,8521,8524,8526,8527,8653,8654,8678,8679,8688,8725,8728,8729,8735,8736,8749,8750,8753,8779,8791,8793,8794,8795,8796,8803,8804,8805,8806,8807,8826,8842,8843,8844,8851,8862,8868,8886,8887,8888,8892,8893,8894,8898,8899,8900,8901,8902,8903,8936,8937,8950,8963,8964,8965,8966,8983,8992,9017,9051,9055,9056,9059,9067,9068,9077,9080,9116,9120,9121,9122,9125,9126,9127,9128,9142,9143,9197,9198,9201,9204,9214,9226,9227,9256,9257,9258,9280,9286,9288,9289,9307,9308,9309,9326,9347,9348,9364,9365,9375,9377,9378,9400,9401,9405,9415,9416,9417,9421,9422,9424,9425,9426,9427,9428,9429,9430,9431,9432,9433,9434,9435,9436,9441,9448,9452,9453,9460,9461,9462,9463,9470,9471,9474,9475,9500,9501,9507,9508,9509,9517,9527,9530,9533,9534,9545,9549,9550,9552,9557,9570,9593,9594,9623,9624,9625,9636,9637,9643,9664,9676,9677,9694,9699,9703,9704,9705,9715,9716,9717,9733,9736,9737,9738,9742,9743,9750,9751,9752,9753,9754,9773,9797,9802,9803,9807,9808,9809,9810,9811,9813,9825,9826,9827,9837,9838,9839,9844,9845,9851,9852,9864,9865,9869,9875,9882,9883,9884,9897,9905,9926,9927,9935,9944,9982,9983,9984,9985,9986,9987,9988,9995,9996,9999,10000,10016,10017,10025,10026,10036,10037,10048,10050,10056,10057,10058,10059,10072,10086,10111,10112,10116,10122,10123,10124,10126,10127,10159,10160
146	499,2640,2766,4856,4910,6658,7441,8375,8481,9648,9701
147	871,1765,1840,1924,3726,3945,4624,4869,4870,4873,5103,5741,6214,6254,6499,6979,7757,8308,8614,9196,9590,9684
148	529,2657,2947,3642,3925,4875,4882,5372
149	3452,4502,5371,8689,9639
150	769,771,1295,3055,3757,4222,4886,5010,6317,6529,8380,8550,8802,8830,8978,9960,10082
151	2763,4917,4918,9093,9094,9136
152	4921,4922,5285,5286,8010,8011,9340,9341
153	4017,4924,5621,6171,6400,8583
154	2792,2793,3193,3194,4864,4865,4938,4939,6676,6677,6808,7368,7369,7407,7408,8263,8264
155	1844,4935,4951,4952,4953,6299,9006
156	288,569,1179,1853,3608,4122,4155,4965,5472,5488,6053,6644,6900,7589
157	348,461,1945,2162,2379,2385,2387,2418,2603,2653,2655,2748,2904,2913,3358,3507,4240,4361,4480,4971,4972,5169,5189,5202,5657,6082,6273,6367,7156,7332,8347,8450,8451,8812,9099,9406,9805
158	3768,7489,7937,8923,8928
159	4597,5019,6169,6388,7647
160	5105,5106,5231,6104,6225,7933,8057,8606
161	1426,3235,3538,5188,5191,7092,9254,9255
162	4433,4525,4690,5218,7458
163	164,323,402,554,557,2611,2876,3639,4363,4468,4636,5051,5120,5241,5242,5743,6795,7421,8830,9537,9933
164	1361,5243,5244,8239,10089
165	818,1882,2932,3485,3984,4470,4964,5050,5137,5157,5263,5264,5265,5270,5966,9536,10041
166	1152,9493
167	201,2958,2959,3152,3807,3808,5287,5288,6444,6445
168	576,1831,2718,4833,4858,5129,5292,5293,5936,6016
