county	city
0	0
1	0,3,25,107,124,161,199,203,269
2	137,139,228,311
3	0,28,50,210
4	0,10
5	0,63,339
6	0,11,32,66,177,245
7	0,73
8	64
9	0,227,304
10	0,59,60,106,108,131,141,208,219,243,274,291
11	0,209,341
12	0,13,97,100,247,318
13	0,30,38,40,89,129,132,337
14	0,29
15	0,20,175,246,312
16	0,18,122
17	0,57,153
18	0,310
19	0,2,4,12,15,19,21,26,35,37,47,49,56,65,72,80,83,84,90,92,112,114,115,123,127,135,136,143,144,146,148,154,155,165,167,171,173,184,187,189,201,215,217,218,220,224,230,236,241,253,262,263,264,278,280,282,294,295,302,303,314,316,329,333,334,335,338
20	0,53,172
21	0,156,273
22	0
23	0,102,229,340
24	0,16,162,169,179
25	0,6
26	0
27	0,45,78,116,118,142,176,188,212,256,289,298
28	0,7,41,196,305
29	0,198
30	0,5,8,31,34,70,75,77,105,109,111,130,138,144,147,149,150,151,152,182,200,207,226,237,260,268,275,288,306,321,336,345
31	0,17,61,159,251,254
32	0
33	0,22,23,39,68,79,87,126,134,140,178,191,195,214,222,250,265,313
34	0,55,93,110,234,255
35	0,267
36	0,1,27,51,52,62,101,117,128,164,186,206,235,240,244,257,322,326,348
37	0,44,54,69,88,94,95,133,145,158,197,204,233,261,271,285,297,328
38	0,157,163,174,249,307,317
39	0,14,91,119,192,221,225,270
40	0,24,36,76,86,104,121,180,213,242,258,259,272
41	0,33,46,120,166,276,281,299
42	0,74,113,168,181,194,216,266,277,286,309
43	0,43,279,287,331
44	0
45	292
46	0,9,239,293
47	0,170
48	0,82,85,96,103,185,193,319,332,346
49	0,81,98,248,308,323,324
50	0,58,71,125,223,252,284,290,300
51	0,48,183,202,320,330
52	0,347
53	0,67,238
54	0
55	0
56	0,99,160,232,327,343
57	0,301
58	0,42,190,205,211,231,283,296,315,325
59	0,342,344
60	0
