county	district
0	0,6,7,8,64,105,106,124,199,222,258,305,407,471,513,516,534,580,595,606,678,679,784
1	20,21,102
2	46,73,96,139,203,241,292,550,551,560,568,606,803
3	102,103,184,444
4	161,448,581,605,777,875
5	2,28,85,99,164,165,336,369,399,446,487,500,535,547,585,606,692,849,859
6	183,185
7	606
8	75,90,111,211,212,213,281,376,492,590,599,606,622
9	18,129,149,151,245,255,262,263,283,340,345,354,357,358,388,456,541,570,582,606,607,633,694,731,774,861
10	278,279,298,548,777,877
11	31,177,231,242,252,253,270,321,324,331,410,452,525,557,606,628,767,812
12	82,83,104,108,131,150,210,307,316,326,449,454,606,730,865
13	74,412,552
14	35,41,54,186,187,209,218,220,235,264,273,289,346,347,348,349,350,378,381,403,427,438,439,451,465,475,503,521,566,567,606,625,640,723,742,768,771,791,792,846,851,852,861
15	33,130,166,299,300,355,356,395,396,584,621
16	341,363,373,374,377,429,464,833
17	72,386,387,786,868
18	1,4,9,26,27,30,39,42,51,59,66,79,93,122,127,136,147,162,172,174,196,198,206,208,214,215,216,217,271,276,277,297,304,310,328,344,364,365,382,385,389,390,397,404,413,416,417,418,419,420,425,428,432,436,477,481,496,518,526,562,565,569,571,600,606,617,618,642,647,672,683,707,715,719,720,722,724,735,763,765,779,795,800,805,835,850,860,867,872,873,874,879,883
19	50,141,142,284,433,606,613
20	78,192,342,372,383,440,441,466,527,606,620,645,646,690,691,716,794
21	442,443
22	32,250,391,455,598,829,876
23	37,188,194,269,296,314,408,421,459,460,461,606,857,882
24	474,785
25	207,435,476
26	10,34,71,118,143,286,290,353,371,470,483,484,524,556,606,655,656,658,698,709,751,762
27	1,3,4,5,6,7,9,12,13,17,21,22,23,27,28,29,30,31,36,37,39,40,41,42,44,45,47,48,49,51,53,55,56,57,59,60,61,62,64,66,67,68,69,70,72,73,75,76,77,79,83,84,85,86,90,92,93,94,95,96,97,98,100,101,102,103,104,108,111,112,115,116,117,119,120,121,122,124,126,127,128,129,130,131,132,133,134,136,137,138,139,140,141,144,146,147,149,150,151,156,158,160,162,163,169,170,172,173,175,177,178,180,182,183,185,187,188,190,191,192,194,195,196,197,198,204,205,206,210,211,213,214,215,216,219,223,226,227,228,229,230,231,232,233,234,236,237,238,239,240,243,244,246,247,249,250,251,254,257,258,261,262,263,265,269,271,275,280,281,282,283,285,286,288,293,296,297,298,299,300,302,303,304,305,306,307,309,311,312,315,316,318,319,322,323,325,328,329,332,334,335,336,337,338,339,341,344,345,346,347,349,351,352,354,355,357,359,360,362,363,366,368,370,375,376,379,380,382,385,388,389,390,392,393,395,397,399,401,402,404,405,407,409,411,413,414,416,417,419,421,422,425,428,430,432,433,434,435,436,437,439,440,443,444,445,447,451,453,456,457,458,459,460,462,464,466,469,472,473,474,477,481,483,484,486,489,490,491,493,494,495,496,500,504,506,507,509,511,512,514,515,517,518,520,522,526,527,530,531,533,534,535,537,538,539,540,542,543,545,546,548,549,550,551,553,559,561,562,564,565,568,569,570,571,572,573,574,575,576,577,578,579,581,583,584,585,586,587,588,589,591,592,593,594,597,599,600,604,606,608,609,610,611,615,617,618,619,621,622,623,625,626,629,630,631,632,633,634,635,636,638,639,640,642,643,644,646,647,648,649,650,651,655,657,659,661,662,664,667,668,669,670,671,672,673,674,676,677,679,680,681,682,684,685,686,687,688,690,692,694,695,696,698,699,702,704,705,706,707,708,709,710,712,713,714,715,716,717,718,726,727,728,731,732,733,734,736,737,739,741,742,743,744,745,747,748,749,751,754,755,756,757,759,760,763,764,765,766,769,771,775,776,777,779,786,789,791,792,793,794,796,797,799,800,801,802,803,805,806,807,809,811,813,814,817,818,821,822,823,826,827,828,829,830,832,833,834,835,836,837,838,839,840,841,843,844,845,847,848,850,851,852,853,854,859,860,862,863,864,866,867,868,869,871,872,873,874,875,876,877,879,880,881,882,883,885,887,891,892,894
28	109,505,506,601,653
29	288,510,511,512,575,793,831
30	22,23,84,92,115,132,179,206,210,254,265,266,269,322,323,327,330,366,370,415,428,434,520,524,536,542,543,587,606,650,651,652,695,717,761,806,823,864
31	16,38,126,154,197,232,248,414,511,517,589,606,638,643,644,793,863
32	597
33	19,47,55,107,150,169,190,309,339,375,457,489,504,528,561,564,576,577,606,634,635,636,639,673,721,799,835,894
34	126,197,219,221,246,267,268,508,606,637,648,649,677,722,827,853
35	34,145,315,659,660,810
36	5,14,29,43,49,53,128,134,135,140,156,157,173,230,247,308,311,491,496,499,509,540,606,617,623,661,662,663,744,748,815,832,844,845,849,894
37	13,80,81,101,116,117,118,144,170,181,182,224,227,228,238,239,293,333,337,368,379,394,419,494,507,537,604,606,608,609,665,666,667,669,670,682,689,693,713,725,749,759,760,775,789,840,848
38	48,226,334,380,400,401,409,437,515,606,630,674,675,775,807
39	36,125,152,430,572,606,680,681,688,801
40	52,60,88,94,100,313,334,335,367,384,458,467,468,558,603,606,611,612,619,664,665,684,685,686,687,733,764,886
41	76,91,119,153,155,285,294,317,411,426,482,545,606,696,697,705,706,752
42	17,65,110,112,113,175,205,233,257,259,275,416,422,423,431,463,469,488,490,493,495,497,498,529,544,563,606,676,698,700,714,725,783,830
43	405,555,559,606,680,701,702,703,704,728,757
44	389
45	606,671,734
46	24,121,123,158,225,237,260,272,287,523,606,616,737,738,739,740
47	743
48	97,201,202,291,301,450,479,501,507,727,746,747,819,858,890,891
49	62,193,236,606,631,750,809,834,839
50	58,63,148,171,274,295,306,343,480,485,539,578,579,583,606,627,641,709,710,711,729,741,754,825,840,856,862,878,880,888
51	133,189,223,320,352,361,472,473,496,519,533,573,606,632,654,772,773,790,822,855
52	89,256,406,606,787,788,892
53	25,167,168,424,614,615,797,798
54	398,813
55	368,606
56	11,15,95,176,186,191,200,204,234,240,346,402,478,532,586,602,606,624,770,778,782,802,804,808,816,817,818,847,884
57	69,102,159,606,755,756,758,780,781,820,821,824
58	87,163,319,486,502,531,536,538,553,554,593,606,629,708,745,753,841,842,843
59	180,229,853,881,885,889
60	114,447,596,869,870,893
