county	schoolName
0	48,107,110,163,164,165,168,169,176,177,178,179,224,230,239,240,245,279,323,329,333,344,345,362,364,365,366,402,443,466,512,553,554,557,563,585,598,601,605,609,618,619,631,635,655,663,684,722,743,776,777,778,792,794,837,838,889,890,891,956,957,969,1011,1048,1080,1086,1094,1097,1103,1129,1140,1194,1197,1202,1204,1212,1249,1304,1305,1385,1417,1523,1524,1525,1527,1529,1530,1580,1601,1625,1635,1743,1794,1819,1829,1853,1917,1936,1967,1969,1982,1985,2010,2011,2042,2043,2069,2074,2085,2103,2104,2112,2126,2153,2155,2275,2294,2329,2341,2392,2459,2467,2505,2546,2547,2572,2573,2610,2611,2613,2614,2615,2632,2633,2660,2666,2667,2668,2680,2688,2800,2802,2846,2864,2866,2871,2872,2873,2876,2894,2899,2921,2923,2955,2964,3058,3071,3187,3213,3259,3265,3272,3284,3289,3293,3298,3303,3313,3317,3331,3347,3365,3368,3408,3436,3523,3524,3552,3558,3566,3591,3639,3661,3672,3705,3749,3751,3822,3838,3841,3868,3871,3877,3894,3895,3904,3941,3963,3969,4009,4040,4042,4062,4081,4088,4130,4135,4151,4163,4167,4180,4245,4266,4275,4297,4316,4328,4330,4350,4363,4375,4380,4394,4396,4428,4433,4461,4468,4487,4501,4502,4509,4512,4513,4532,4540,4543,4587,4599,4636,4651,4653,4739,4778,4787,4814,4914,5022,5030,5034,5051,5057,5064,5075,5078,5096,5120,5167,5172,5173,5189,5192,5194,5241,5242,5258,5261,5262,5304,5308,5323,5451,5475,5488,5492,5493,5539,5572,5573,5577,5636,5675,5689,5709,5712,5743,5774,5797,5811,5854,5954,6012,6013,6017,6018,6051,6071,6097,6210,6253,6304,6309,6337,6340,6369,6370,6401,6469,6546,6593,6594,6595,6596,6597,6598,6599,6600,6601,6602,6603,6628,6670,6789,6795,6807,6890,6951,6964,6968,7012,7048,7085,7098,7099,7100,7102,7103,7144,7161,7195,7258,7286,7374,7421,7454,7459,7460,7484,7486,7488,7631,7635,7636,7713,7779,7785,7787,7792,7825,7846,7856,7861,7866,7881,7906,7938,8029,8030,8031,8032,8033,8034,8035,8102,8190,8203,8224,8251,8390,8428,8538,8555,8560,8586,8593,8594,8595,8604,8609,8610,8612,8625,8627,8631,8655,8717,8722,8734,8743,8744,8751,8801,8821,8830,8987,9013,9015,9016,9019,9020,9026,9027,9029,9030,9054,9079,9084,9086,9087,9130,9131,9145,9185,9279,9296,9297,9298,9318,9319,9362,9382,9406,9443,9525,9537,9543,9569,9650,9674,9685,9695,9697,9700,9747,9776,9823,9868,9891,9896,9904,9918,9922,9933,9991,10024,10067,10115,10135,10136,10145,10153
1	343,519,4262,4304,4364,4366,6186,7201,8307,8857,8858
2	91,108,727,932,945,947,961,1000,1228,1575,1593,1665,1737,1738,1739,1744,1801,2559,2560,2561,2967,3044,3588,3717,3939,4140,4142,4143,4144,4292,4307,5005,5232,5278,5632,5682,5811,5821,5897,6191,6305,6518,6585,6588,6764,6765,6867,6868,6869,6870,6930,6932,6933,6934,6936,6937,6938,7115,7190,7197,7225,7585,7809,8294,8325,8368,8371,8644,8742,8879,9991,10088
3	1276,1282,1285,2029,2319,3581,7935,9402,9781
4	500,1954,1955,1956,3477,4272,4397,5246,5770,5771,5772,7105,7282,7283,9949,9950
5	58,98,99,100,114,122,171,212,229,285,468,470,471,623,624,682,720,790,824,861,930,976,977,997,1014,1082,1096,1110,1177,1222,1291,1296,1326,1336,1351,1358,1448,1466,1586,1627,1695,1842,1923,1930,1996,2012,2013,2062,2089,2108,2143,2223,2280,2299,2302,2329,2359,2395,2397,2398,2419,2464,2488,2497,2583,2617,2662,2689,2703,2741,2751,2759,2836,3042,3063,3172,3186,3190,3204,3300,3307,3316,3379,3431,3568,3600,3661,3695,3698,3709,3796,3804,3820,3926,3947,3979,3980,3985,4017,4020,4043,4054,4083,4095,4173,4260,4272,4311,4312,4354,4360,4463,4484,4502,4523,4540,4557,4558,4696,4730,4914,4997,4999,5034,5065,5132,5153,5157,5162,5237,5239,5279,5281,5298,5369,5377,5389,5413,5444,5466,5481,5533,5575,5683,5684,5711,5716,5717,5728,5832,5847,5923,5984,5992,6001,6075,6084,6120,6140,6193,6208,6209,6230,6251,6260,6310,6496,6533,6539,6541,6560,6605,6646,6657,6679,6748,6755,6894,6953,6972,7114,7118,7134,7135,7144,7154,7155,7187,7293,7325,7336,7350,7423,7429,7571,7572,7573,7575,7621,7672,7678,7767,7897,7915,8082,8247,8251,8253,8267,8269,8276,8286,8300,8398,8434,8557,8559,8572,8591,8592,8601,8607,8609,8616,8619,8621,8623,8652,8671,8696,8716,8724,8731,8776,8781,8782,8790,8824,8859,8883,8938,9043,9096,9110,9238,9263,9349,9354,9406,9410,9467,9469,9484,9546,9582,9626,9644,9647,9652,9659,9695,9757,9853,9909,9962,9969,9991,10004,10075,10084,10098,10099,10121
6	912,1517,2136,2322,2820,4466,6179,9287
7	8602
8	161,948,1164,1302,1339,2694,2709,2749,2750,2752,3582,3593,3972,4256,4268,4364,5410,5645,7126,7185,7517,8344,8347,9294,9910
9	76,127,157,313,338,401,432,536,573,591,681,683,696,916,938,955,966,1161,1167,1186,1213,1319,1328,1416,1481,1482,1555,1568,1574,1590,1605,1626,1732,1808,1871,1872,1873,1875,1876,1877,1878,1879,1887,1907,1945,1966,2026,2028,2105,2257,2313,2389,2543,2643,2658,2679,2681,2685,2735,2770,2912,2914,2929,2930,2933,3024,3035,3084,3133,3140,3141,3142,3143,3144,3159,3218,3224,3226,3245,3246,3306,3329,3330,3408,3431,3445,3500,3505,3518,3604,3659,3776,3794,3864,3897,3914,3917,3946,3975,3999,4097,4205,4223,4319,4345,4364,4387,4392,4407,4433,4438,4490,4552,4555,4556,4657,4668,4703,4704,4708,4742,4756,4764,4765,4802,4822,4977,5023,5045,5189,5414,5537,5541,5548,5578,5653,5689,5778,5793,5800,5811,5819,5861,5862,5863,5864,5935,5991,6040,6086,6160,6190,6193,6231,6290,6318,6358,6437,6448,6533,6724,6728,6982,6999,7000,7080,7090,7116,7253,7357,7367,7378,7458,7462,7496,7497,7527,7624,7641,7660,7677,7716,7749,7751,7779,7781,7880,7882,8100,8204,8240,8251,8253,8345,8375,8383,8431,8534,8660,8818,8830,8848,8935,8951,8976,8989,9049,9071,9113,9173,9238,9440,9511,9541,9547,9556,9695,9718,9728,9744,9779,9780,9942,9991,10027,10034,10069,10073
10	2821,3067,3553,3554,3775,3776,3777,6485,6757,6758,7276,8756,9632,9916,9975,9976,9977
11	150,214,504,505,506,1536,1891,2197,2498,2584,2711,3006,3120,3121,3227,3228,3229,3351,3408,3661,4227,4369,5040,5273,5814,5815,6134,6161,6435,6493,6494,6495,6831,6846,7482,7492,8415,8416,8497,8808,9117,9192,9193,9295,9695,10165
12	662,719,747,868,950,986,1071,1288,1289,1308,1598,1619,2281,2384,2469,2910,3070,3271,3318,3920,3923,4125,4126,4137,4241,4246,4250,4252,4352,4692,5607,5704,5792,5841,5935,6268,7076,7741,8223,8232,8543,8905,9790,9833,9934,9993
13	970,971,4138,5247,5296,5297,6802,6803,8342
