district	schoolName
0	5261,5262
1	69,288,569,1063,1190,1449,1487,1612,1613,2839,3101,3361,3378,3611,3872,3881,4614,4689,5066,5849,6397,6412,6900,7833,8730,9011,9167,9872,10030
2	98,99,100,1358,4999,5992
3	1047
4	1965,4022,4239,4289,5838,5901,5902,8187,9447
5	134,1946,2383,2461,2585,2756,3479,3744,5855,5889,6150,9052,9496,9762,9846
6	165,166,1204,1982,2103,2921,5057,6603,9318,10135,10136
7	163,164,168,169,329,355,778,2459,2680,2894,3272,3284,3963,4328,5194,5774,6304,7635,7861,9015,9016,9896,9918
8	176,177,178,179,2043,5475,5636,6628
9	211,1109,1606,2870,3316,3408,3638,5614,5667,5698,6107,6951,7388,7516,7999,9936,10101
10	223,749,1627,2123,2528,3273,3316,4448,4498,6074,6613,6777,9558
11	241
12	290,291
13	299,1041,2122,4458,6196,8277
14	305,308,737,1453,2296,3173,3996,4420,9495,9539
15	317
16	321
17	63,130,296,488,870,1619,1880,1881,2463,4164,4588,4783,4789,5071,5081,5206,5455,5949,6547,6616,7508,7511,7874,7942,8896,9073,9943
18	338
19	232,339,340,341,523,525,1929,3186,4064,4855,4894,4940,5284,6267,6449,7081,7289,7818,7884,8774,8786,9004,9273,9406,9747,10133
20	8307
21	343,519,4262,4304,4305,4364,4366,7110,7149,7201,8857,8858
22	765,2676,3278,3437,3571,3740,3955,4426,4614,4721,5183,5248,5484,5554,5685,6665,6732,6883,7225,7273,7525,7775,7832,8708,8802,9829
23	378,716,1132,2201,2222,3510,4157,4502,4658,5150,5249,5503,6740,6806,8185,8505,8878,9639,9814
24	393,395,6484
25	456
26	462
27	460,461,2379,2387,2655,4046,4807,4972,5235,6891,6893,7093,7332,7351,8450,8451,9924
28	467,468,469,470,471,861,930,977,1096,1448,2223,2299,2397,2514,3316,3661,4360,4730,5239,5298,5684,6001,6230,6748,6953,7294,8859,9238
29	482,484,2375,3656,4023,5622,7086,7436,7625,8093,8414,8881,9442,10149
30	502,503,712,1340,3145,3202,4047,4106,4202,5307,7422,7555
31	505,1891,3351,7485,8808,9295
32	516,6833
33	541,2160,6976
34	545,8022
35	803,2732,3876,8375
36	636,637,3137,6111,6908,7949,7998,8132,8150,8752,8954
37	158,643,849,850,2845,6026,6027,7040,8280,9072
38	316,645,3007,7720,8430
39	217,685,1578,1679,1857,3190,3520,3521,3956,5302,5501,6193,6943,8349,8433,9413,9488,9621
40	698
41	914,915,1456,1497,1627,1761,1921,1933,1994,2190,2509,2519,2525,2867,3022,3276,3284,3316,3823,3958,4167,4175,4433,5118,5305,5811,6225,6243,6266,7021,7143,7356,7382,7779,8253,8357,8674,9614,9665,9701,9721,9937,9948
42	711,1587,1671,1672,2279,2855,2938,4445,4688,5606,6472,6662,7194,8127,8376,9169,9535,9648
43	715
44	717
45	718
46	727
47	730,731,732,733,1244,1587,3166,3951,4093,5968,6342,6395,7515,8847
48	736,6388
49	760,761,762,763,1223,1337,1589,1651,2146,3952,5115,6070,8429
50	6553,6592
51	769,771,2453,2674,4344,6529,8802,9144
52	785,3412
53	710,933,934,935,1713,3078,6477
54	809,810,6450,8028
55	17,438,812,814,815,1138,3543,4041,6882,8002,8798,9089,9153
56	838
57	847
58	4667,5836,8945
59	182,852,2113,2942,2978,3264,4296,4995,5779,7388,8472,8680,9065,9695
60	1587,1793,3247,6320,7377,7493,8094
61	860
62	872,873,1966,4467,5157,5733,5759,7711
63	8370,8740,10155
64	889,890,891,892,893,1743,2112,2866,3289,4163,4433,4540,4739,5078,5304,5539,5709,6807,7459,7460,7792,9087,9145,9298,9695,9904
65	904,1139,1725,4978,5530,6159,6418,6508,7102,7870,8381,8765,9161,9526
66	928,929,2777,3883,6143
67	936
68	937
69	2455,8988,9112
70	939,940
71	942
72	943,944
73	945,946,947
74	970,971,4138
75	370,2430,3489,3593,6506
76	877,3080,3081,9205
77	999
78	1013
79	237,534,1022,1661,3294,3519,3627,4351,4900,5295,6568,7394,7978,9565
80	1027,1028,1029,6436,7002
81	1036,1037,1038,2412
82	747,4352,5935,6268,7076
83	1071,2384,7507
84	546,1072,1073,1074,1075,5034,5657,6657,9914
85	122,1082,2689,3411,5281,5683,5728,7144,7350,7767,9909
86	1088
87	1104,6671
88	1111,5226,6922
89	1113
90	1001,1164,1302,1335,1700,6566,7637,7760,8386,9910
91	4573,6579
92	575,1173,1419,1675,3619,4377,5469
93	1085,1191,1195,1199,1200,1214,2260,3485,4166,4461,4543,5447,5506,6106,6719,7296,7347,7373,9049,9062,9065,9659,9932
94	1206,3284,4153,5189,5811,7779,9695
95	1218,1220,4454,6558,8770,9939
96	1228,2040,5897,6191
97	1229,1230,1500,7096
98	1236
99	2419,9110
100	337,2754,3085,3086,3766,5569,7107
101	475,678,996,1039,1264,1265,1704,2145,2714,2861,3174,3352,3702,4072,4373,4564,5149,5370,5486,5501,5879,6127,6284,7431,7626,8274,9582,9616
102	1276,1277,1278,1279,1284,1543,1544,6185,6186
103	1282,1285,3581,4441,6039,7360,7935,9402,9781
104	662,986,1288,1289,1619,2469,2910,4433,4692,5529,7741,9934
105	1304
106	1305
107	1306
108	950,1308,3318,3630
109	1309,1310,6875
110	694,3083,3093,7274,8176,8672
111	1339,1353
112	980,981,1357,1405,1406,1522,3211,3212,5457,5692,5693,6054,7760,7816,7817,8318,8320,9515
113	1054,1069,1330,2315,5095,7292,9830
114	1359,2041
115	227,228,565,773,903,1100,1303,1395,1397,1400,1401,1421,1510,1659,1830,1981,1997,2230,2324,2451,2452,3487,3836,4017,4533,4605,4640,4773,4911,4912,4924,4993,4996,5002,5591,5598,5621,6171,6377,6400,6558,6781,6809,6874,7078,7553,7554,7955,8025,8027,8335,9010,9109,9212,9506,9575,9576,9628,10038
116	117,119,1412,1413
117	677,1177,1275,1430,4159,4433,4679,5501,6843,7204,9387
118	1436,1437,1441,1442,1443,1444,9215
119	226,1362,1463,1464,1465,7595,8766
120	1485,1486,5592
121	392,394,5833
122	1505,1506,5237,6497
123	1518
124	279,1385,1386,1525,1526,1527,1528,1529,1530,1636,1728,2126,2127,4263,4264,4442,4443,5689,5690,6914,6915,7286,7287,7486,7490,7846,8655,8656,9443,9444
125	1542
126	577,1577,1821,2204,3567,5794,6452,6561,9990
127	3079,3885,5046,5139,6353,7346
128	802,1587,2107,2176,2177,2458,7877,7878,9355
129	955,1590,1596,2735,3518,3794,3864,3999,4392,4555,5811,6437,6999,7000,7059,7624,7641,7779,8951,9942
130	159,1587,7345,8732
131	1597,1598,2378,7094,8543
132	1174,1600,2233,3452,3539,5371,7452,8047
133	521,984,1472,1532,1599,1610,1623,2454,3795,4473,4890,5429,5467,5497,7007,7930,8407,9553,9666,9871
134	306,307,1638,1640,1641,1939,2992,5383,5384,6072,6701,7411,9408
135	327,1639,1642,1940,2993,6702,7412,9409
136	692,1100,1553,1701,3540,7854,8715,9695,9964
137	1708,6197
138	1735,1736
139	91,932,1000,1575,1665,1737,1738,1739,1801,2878,3044,4144,4292,5232,5278,5632,5682,5821,6305,6585,6975,7190,7809,8294,8325,8371,9888
140	220,437,1055,1176,1235,1266,1383,1659,1758,1759,1760,2093,2410,2447,2571,2580,2710,3495,3551,4019,4179,5140,5452,5505,5913,6381,6575,7393,7708,7761,7858,9645,10047
141	3060,5880,7770,8685,9994
142	1763
143	1778
144	235,564,783,1320,1502,1514,1779,1780,1846,2021,2421,2645,3099,3139,3765,3818,3922,3984,4077,4182,4616,4676,5028,5070,5127,5155,5277,5332,5686,5822,6122,6229,6683,6783,6911,6975,7543,7752,7756,7807,7921,8394,8817,9108,9353,9411,9482,9601,10031
145	1785
146	1790,1791
147	1659,1827,1828,1966,1998,2234,2776,6606,7943,8788,8876,9580
148	1868,4433,9690
149	313,1161,1167,1555,1574,1605,1833,1872,1873,1874,1875,1876,1877,1878,1879,1907,2028,2105,2543,2912,3084,3226,3306,3408,3431,3500,3659,4407,4433,4657,5155,5189,5578,5991,6193,6317,7119,7458,7462,7527,7677,7751,8375,8935,8976,9389,9556,9744,10073
150	1008,1259,1619,1884,1885,2030,2376,4529,4852,5004,5844,6201,6520,6614,6888,7072,8183,8223,9146,9352,9406,9790
151	449,1328,1732,1886,1887,3960,4223,4224,6314
152	1324,1889,5088,8131
153	1902
154	1913
155	1920,8157,8158
156	73,214,993,1941,1942,2022,2148,3494,3646,3647,4465,4646,5725,5912,7023,7461,7876,7879,8083,8436,8877,9005,9007,9285,9668,9697,9932,10069
157	1943
158	1945,5798,6197
159	1945
160	1947
161	1954,1955,1956,3477,4397
162	390,1189,1216,1489,1569,1617,1863,1989,1990,1993,1995,2268,2409,2446,2781,2866,2915,3237,3254,4679,5039,5305,5703,5781,5811,7370,7691,7779,7785,7808,9067,9095,9116,9441,9695,9855,9974
163	81,590,737,1602,1916,2001,2003,2200,2916,3560,4909,4979,5368,5494,5579,6371,7491,8253,8874,9088,9648,9722,9820,9821,9822,9891
164	114,1291,1586,1842,2012,2617,3172,4354,5533,8781
165	2013,5162
166	1085,2031,4492,4543,4761,5668
167	1944,5785,6666,9794,10078
168	1567,2049
169	646,879,1569,1615,1807,1825,2056,2057,2058,2059,2060,2061,2068,2516,2517,2563,2656,2742,2803,3186,3413,3485,3806,4043,4136,4433,4477,4502,4554,5086,5138,5187,5406,6426,6427,6428,6729,6733,6969,7254,7646,7677,7770,7791,8168,8375,8848,8975,9485,9504,9932,10069
170	2063,2065,2066,2067,2602,6876,8393
171	3022,4550,5049,5615,6082,7410,7550,7755,8955,8956,9074,9300,9634
172	753,869,2098,2200,3066,3728,4989,5003,5574,5885,5886,6507,7843,8380,8503,9183,10081
173	2175,5335,7413,9041
174	2179,2180,2181,2182,2755,2774,3095,4832,5223
175	73,998,1239,1729,1767,2188,2208,2349,2563,2609,3386,3803,4462,4504,4540,4828,5402,5567,6073,6152,6250,6319,7344,7925,8367,8691,9629,9680,9795,9915,9940
176	2195,2196,2760,3595,5412,6763,6882
177	2197,7587
178	2198,8355
179	60,1826,3275,4632,5609,8689
180	959,1619,2211,2269,2270,3250,3299,4736,5616,6455,6673,7017,7144,7376,7688
181	2301,2411,4291,5903,6167
182	589,1439,2314,2316,6617,7896,8880,9150
183	1517,2318,2820,9287
184	2319
185	912,2136,2322,4466,5739,6179,7109,8831
186	1628,2342,2343,7692,9381
187	180,286,1547,2340,3316,3864,4904,6153,6532,7141,7284,9004
188	2346,2347,2733,3832,8192
189	2363,2364,2365,2366
190	73,356,375,401,1470,1935,2380,2533,2564,3484,3497,3852,3974,4170,4273,4274,4383,4398,4401,4501,4511,4888,4889,5456,5715,6880,6881,7560,8278,8777,9049,9066
191	2417,4433,4501,8377,9698
192	2434,5732,5957,9356
193	389,1238,2435,2436,3715,5528,9186
194	902,1150,2480,2481,2482,9842
195	2490
196	167,1461,1950,2486,2499,2500,3381,3438,3723,4251,5142,6652,7275,7608,7616,8665,8852,9310,9673,9681,9948
197	455,459,757,2109,2129,3989,6661,7323,8397
